text,intent,expected_action,human_intent,human_expected_action,review_status,review_notes
why my hacked Spotify is doing this?,Account_Security,ESCALATE_TO_HUMAN,Account_Security,ESCALATE_TO_HUMAN,APPROVED,
Just purchased the premium family plan but can't invite family members. Why is this complicated?,Family_Student_Plan,AUTO_HANDLE,Family_Student_Plan,AUTO_HANDLE,APPROVED,
"Hi there, I can't play none of Beck song for some reason. It works on my hubby's account. Why...?",Playback_Issue,AUTO_HANDLE,Playback_Issue,AUTO_HANDLE,APPROVED,
downloaded the desktop EXE version of the app and it started downloading files to my phone immediately after I added my music in,Music_Content,AUTO_HANDLE,App_Technical,AUTO_HANDLE,CORRECTED,"Describes unexpected/unwanted file downloads to phone, an app bug, not a content issue."
"New to Can someone tell me how to turn OFF that ($!#/) shuffle play Play one song, remove the suggested songs. Ready 2 delete",Playback_Issue,AUTO_HANDLE,Playback_Issue,AUTO_HANDLE,APPROVED,
Can i avail this on top of my premium subscription? Mine will expire on march 2018 i guess 😞,Premium_Subscription,AUTO_HANDLE,Premium_Subscription,AUTO_HANDLE,APPROVED,
I have a student premium acct. and for the past 2 months ive been charged full price and have not had access to hulu nor could i find a solution on the community forums/pages,Family_Student_Plan,AUTO_HANDLE,Family_Student_Plan,AUTO_HANDLE,APPROVED,
make a setting where in Offline mode you only see downloaded albums. Saved albums are useless to me when im in offline mode!,Downloads_Offline,AUTO_HANDLE,Feature_Request,AUTO_HANDLE,CORRECTED,"Customer proposes a new offline-mode display setting, not reporting broken functionality."
Can't log in and don't have time to navigate that nightmare of a help center to find a point of external communication WYA?,Login_Issue,AUTO_HANDLE,Login_Issue,AUTO_HANDLE,APPROVED,
. Please could you help? None of my music will play and it’s set to “offline” I listen to my music on the go all the time and have never had this problem. It’s just stopped becoming available. Has my music just...un-downloaded itself? 😞,Downloads_Offline,AUTO_HANDLE,Downloads_Offline,AUTO_HANDLE,APPROVED,
. why is my student subscription not working for Hulu?,Premium_Subscription,AUTO_HANDLE,Family_Student_Plan,AUTO_HANDLE,CORRECTED,"Issue is student plan's Hulu benefit not working, matches Family_Student_Plan pattern."
it's 2017 why do I have a 3333 offline song limit on my spotify? Do you really want to get that 9.99 a month off me? Ps pls emulate their local files synching.,Downloads_Offline,AUTO_HANDLE,Downloads_Offline,AUTO_HANDLE,APPROVED,
"Streaming isn’t working, for ex. I can’t listen to any of the xx. And all my offline playlist disappeared.",Downloads_Offline,AUTO_HANDLE,Downloads_Offline,AUTO_HANDLE,APPROVED,
can you please add to your #WomenOfPop Playlist?,Feature_Request,AUTO_HANDLE,Music_Content,AUTO_HANDLE,CORRECTED,"Request to add a song to a specific playlist is a content request, not a feature request."
the app won't let me share links to songs? The app just crashes when I use the share option,App_Technical,AUTO_HANDLE,App_Technical,AUTO_HANDLE,APPROVED,
where is your Apple Watch app. I really don't want to cancel and subscribe to Apple Music but need offline playlists on the watch.,Downloads_Offline,AUTO_HANDLE,Feature_Request,AUTO_HANDLE,CORRECTED,"Customer is requesting a new Apple Watch app/platform support, not reporting a downloads bug."
Hi - where might I find the ‘shuffle entire library’ button?,Playback_Issue,AUTO_HANDLE,Playback_Issue,AUTO_HANDLE,APPROVED,
My premium account has become inactive sadly. It won't let me do anything. Go to a free account update or anything,Premium_Subscription,AUTO_HANDLE,Premium_Subscription,AUTO_HANDLE,APPROVED,
i still haven't heard reputation can they put it on spotify pls,Music_Content,AUTO_HANDLE,Music_Content,AUTO_HANDLE,APPROVED,
can you please fix ur desktop app it keeps crashing,App_Technical,AUTO_HANDLE,App_Technical,AUTO_HANDLE,APPROVED,
I was double charged for Spotify Premium. How do I fix this?,Payment_Refund,ESCALATE_TO_HUMAN,Payment_Refund,ESCALATE_TO_HUMAN,APPROVED,
"Am subscribed to Spotify premium, tried to play music today it says I only have a free account. No notification. Why?",Premium_Subscription,AUTO_HANDLE,Premium_Subscription,AUTO_HANDLE,APPROVED,
"My Spotify was hacked a short while ago. Now my BELOVED ""Discover Weekly"" is screwed and useless :-/ Can I get your help to reset it?",Account_Security,ESCALATE_TO_HUMAN,Account_Security,ESCALATE_TO_HUMAN,APPROVED,
swiping to queue rarely ever works in offline mode (been like this forever ),Downloads_Offline,AUTO_HANDLE,Downloads_Offline,AUTO_HANDLE,APPROVED,
I have been charged twice for the same month of premium,Payment_Refund,ESCALATE_TO_HUMAN,Payment_Refund,ESCALATE_TO_HUMAN,APPROVED,
yo you should add this song to your new music friday playlist 😉💛,Music_Content,AUTO_HANDLE,Music_Content,AUTO_HANDLE,APPROVED,
"Hi I subscribed to premium but I can not use it, use the university account and they already charged me but I really wanted the normal premium account, which is what I have to do to recover my money and pay the normal premium.",Payment_Refund,ESCALATE_TO_HUMAN,Payment_Refund,ESCALATE_TO_HUMAN,APPROVED,
"hi! I live in Porto, Portugal, and I cant log in my account, it keeps saying that I'm in a diferent country, I don't know why",Login_Issue,AUTO_HANDLE,Login_Issue,AUTO_HANDLE,APPROVED,
Same. I wish Spotify had a calendar view of when new albums come out for artists you follow.,Feature_Request,AUTO_HANDLE,Feature_Request,AUTO_HANDLE,APPROVED,
"Online when I'm connected to the Internet, when I press connect it just doesn't respond so I can't log in. Thanks!",Login_Issue,AUTO_HANDLE,Login_Issue,AUTO_HANDLE,APPROVED,
you guys should add the Art of podcast to your library!! PLEASE!,Feature_Request,AUTO_HANDLE,Music_Content,AUTO_HANDLE,CORRECTED,"Request to add a specific podcast to the catalog, not an app feature request."
"I am getting a message that my payment information failed, but I signed up for the family plan with my wife and my account...",Family_Student_Plan,AUTO_HANDLE,Family_Student_Plan,AUTO_HANDLE,APPROVED,
"and BTW, you'll even benefit a lot if you'll put up GOT7's song on Spotify cause they have a bajillion of fans (called AHGASES) WORLDWIDE, so basically more ppl will tune in to Spotify cause of them. 💚 Just sayin' yknow 🤔😉 #GOT7onSpotify",Music_Content,AUTO_HANDLE,Music_Content,AUTO_HANDLE,APPROVED,
upgraded my family to premium. But now everyone but me gets it. I’m signed in through Facebook and it’s not working,Premium_Subscription,AUTO_HANDLE,Family_Student_Plan,AUTO_HANDLE,CORRECTED,"Issue is about family plan members not receiving premium, matches Family_Student_Plan pattern."
"none of those answers are appropriate, its a bug ive seen many complain about. so i just have to reinstall & re save every 2 months? cool.",App_Technical,AUTO_HANDLE,App_Technical,AUTO_HANDLE,APPROVED,
upgraded to premium and it still says I have a free account. Fix?,Premium_Subscription,AUTO_HANDLE,Premium_Subscription,AUTO_HANDLE,APPROVED,
I have student premium and it won’t let me access Hulu. Talked to a Hulu rep and the issue seems to be on yalls end- help!,Family_Student_Plan,AUTO_HANDLE,Family_Student_Plan,AUTO_HANDLE,APPROVED,
can't login for some reason. It let me reset my password to the same thing 3 times in a row. All login info was triple checked,Login_Issue,AUTO_HANDLE,Login_Issue,AUTO_HANDLE,APPROVED,
account was hacked and resolved but all my playlists are gone.,Account_Security,ESCALATE_TO_HUMAN,Account_Security,ESCALATE_TO_HUMAN,APPROVED,
Feature Request: ability to switch to a new playlist after the current song (instead of stopping it and switching immediately) on,Feature_Request,AUTO_HANDLE,Feature_Request,AUTO_HANDLE,APPROVED,
"Thanks for the reply, But is this saying can't shuffle at all now? lol I'm doing it on my current playlist.",Playback_Issue,AUTO_HANDLE,Playback_Issue,AUTO_HANDLE,APPROVED,
"I got a new Phone, and now the app says I am aboard and can't log in anymore while I have never left the US. Please help!",Login_Issue,AUTO_HANDLE,Login_Issue,AUTO_HANDLE,APPROVED,
